14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [checkStudent] - FIN MÉTODO
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - Creando alumno
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addStudent] - ENTRADA MÉTODO
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addStudent] - Alumno añadido
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addStudent] - FIN MÉTODO
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - Alumno creado
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - FIN MÉTODO
14:59:51.570 [main] INFO  nttdata.javat3.T3MainFMR - [main] - FIN CASO 1
14:59:52.005 [main] INFO  nttdata.javat3.T3MainFMR - [main] - ENTRADA CASO 1
14:59:53.598 [main] INFO  nttdata.javat3.T3MainFMR - [showSchools] - ENTRADA MÉTODO
14:59:54.039 [main] INFO  nttdata.javat3.T3MainFMR - [showSchools] - Centro educativo seleccionado: CESUR Sevilla
14:59:54.039 [main] INFO  nttdata.javat3.T3MainFMR - [showSchools] - FIN MÉTODO
14:59:54.039 [main] INFO  nttdata.javat3.T3MainFMR - [showModalities] - ENTRADA MÉTODO
14:59:54.476 [main] INFO  nttdata.javat3.T3MainFMR - [showModalities] - Modalidad seleccionada: DAW
14:59:54.477 [main] INFO  nttdata.javat3.T3MainFMR - [showModalities] - FIN MÉTODO
14:59:54.477 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - ENTRADA MÉTODO
14:59:54.477 [main] INFO  n.j.business.ManagmentServiceImpl - [checkPerson] - Comprobando si la persona existe
14:59:54.477 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - ENTRADA MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
14:59:54.477 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - FIN MÉTODO
14:59:54.477 [main] INFO  n.j.business.ManagmentServiceImpl - [checkStudent] - ENTRADA MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:54.478 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:54.478 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:54.478 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:54.478 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:54.478 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:54.478 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:54.478 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:54.478 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:54.478 [main] INFO  n.j.business.ManagmentServiceImpl - [checkStudent] - FIN MÉTODO
14:59:54.478 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - Creando alumno
14:59:54.478 [main] INFO  n.j.business.ManagmentServiceImpl - [addStudent] - ENTRADA MÉTODO
14:59:54.478 [main] INFO  n.j.business.ManagmentServiceImpl - [addStudent] - Alumno añadido
14:59:54.478 [main] INFO  n.j.business.ManagmentServiceImpl - [addStudent] - FIN MÉTODO
14:59:54.478 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - Alumno creado
14:59:54.478 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - FIN MÉTODO
14:59:54.478 [main] INFO  nttdata.javat3.T3MainFMR - [main] - FIN CASO 1
14:59:54.910 [main] INFO  nttdata.javat3.T3MainFMR - [main] - ENTRADA CASO 2
14:59:56.504 [main] INFO  nttdata.javat3.T3MainFMR - [showProjects] - ENTRADA MÉTODO
14:59:56.941 [main] INFO  nttdata.javat3.T3MainFMR - [showProjects] - Projecto seleccionado: Banco Popular
14:59:56.942 [main] INFO  nttdata.javat3.T3MainFMR - [showProjects] - FIN MÉTODO
14:59:56.942 [main] INFO  nttdata.javat3.T3MainFMR - [showCategories] - ENTRADA MÉTODO
14:59:57.379 [main] INFO  nttdata.javat3.T3MainFMR - [showCategories] - Categoria seleccionada: JUNIOR
14:59:57.379 [main] INFO  nttdata.javat3.T3MainFMR - [showCategories] - FIN MÉTODO
14:59:57.379 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - ENTRADA MÉTODO
